epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1997,1.54393,1.48288,1.46331,0.5949,0.48256,0.52367,0.23446,1.84631,1.83228,1.71132,0.0668903,3.31429e-05,3.31429e-05
2,145.119,1.53603,1.4167,1.46213,0.7375,0.6689,0.73274,0.41535,1.42821,1.269,1.36926,0.03359,6.61471e-05,6.61471e-05
3,217.146,1.49127,1.36378,1.44399,0.7405,0.69231,0.76568,0.44482,1.38958,1.25207,1.34966,0.000289298,9.88214e-05,9.88214e-05
4,289.265,1.47983,1.31442,1.42437,0.75595,0.6898,0.76411,0.44733,1.39743,1.1422,1.35078,9.8515e-05,9.8515e-05,9.8515e-05
5,360.813,1.4733,1.30769,1.41715,0.65967,0.65476,0.6822,0.38075,1.45189,1.29219,1.43617,9.802e-05,9.802e-05,9.802e-05
6,432.661,1.47152,1.28319,1.41093,0.71915,0.66555,0.72398,0.38568,1.50604,1.22132,1.44062,9.7525e-05,9.7525e-05,9.7525e-05
7,504.562,1.45545,1.27024,1.40997,0.73533,0.7062,0.75658,0.43952,1.37445,1.22996,1.34551,9.703e-05,9.703e-05,9.703e-05
8,577.596,1.44346,1.24571,1.40139,0.72986,0.70482,0.75391,0.41624,1.50736,1.13676,1.41899,9.6535e-05,9.6535e-05,9.6535e-05
9,649.854,1.43057,1.21391,1.39198,0.74812,0.71321,0.75537,0.42296,1.43664,1.11339,1.37373,9.604e-05,9.604e-05,9.604e-05
10,725.467,1.42067,1.1981,1.38722,0.74944,0.69398,0.76144,0.4455,1.4018,1.09611,1.35822,9.5545e-05,9.5545e-05,9.5545e-05
11,810.507,1.42309,1.18453,1.38337,0.73146,0.74666,0.7788,0.46422,1.38293,1.13658,1.345,9.505e-05,9.505e-05,9.505e-05
12,895.53,1.42371,1.18813,1.38632,0.74838,0.7291,0.78188,0.45492,1.41128,1.04017,1.3757,9.4555e-05,9.4555e-05,9.4555e-05
13,980.715,1.40792,1.15505,1.37215,0.74663,0.71572,0.78225,0.44781,1.45906,1.05604,1.37233,9.406e-05,9.406e-05,9.406e-05
14,1066.51,1.41284,1.15784,1.37769,0.74347,0.7107,0.7716,0.44548,1.39658,1.07543,1.36055,9.3565e-05,9.3565e-05,9.3565e-05
15,1152.04,1.40666,1.14624,1.37687,0.72294,0.73244,0.76113,0.44828,1.37191,1.04384,1.3617,9.307e-05,9.307e-05,9.307e-05
16,1236.22,1.39491,1.1301,1.36543,0.76571,0.70318,0.78007,0.45943,1.36799,1.02634,1.35254,9.2575e-05,9.2575e-05,9.2575e-05
17,1320.87,1.38826,1.13002,1.36311,0.70828,0.7552,0.74854,0.43045,1.37683,1.12171,1.35507,9.208e-05,9.208e-05,9.208e-05
18,1405.79,1.38676,1.11787,1.36409,0.75102,0.71628,0.7724,0.45731,1.36718,1.03649,1.35215,9.1585e-05,9.1585e-05,9.1585e-05
19,1490.01,1.37508,1.11198,1.36139,0.76435,0.71154,0.7609,0.43234,1.41619,1.05777,1.40014,9.109e-05,9.109e-05,9.109e-05
20,1574.61,1.37398,1.09011,1.35598,0.71823,0.73528,0.7825,0.4637,1.39552,1.01625,1.37769,9.0595e-05,9.0595e-05,9.0595e-05
21,1658.65,1.37529,1.10084,1.35507,0.75201,0.73781,0.7893,0.47343,1.36154,0.98948,1.34309,9.01e-05,9.01e-05,9.01e-05
22,1742.82,1.36545,1.07879,1.34921,0.73511,0.74164,0.78206,0.4661,1.39611,0.98406,1.35821,8.9605e-05,8.9605e-05,8.9605e-05
23,1826.85,1.36593,1.07162,1.34856,0.75968,0.72742,0.78556,0.4497,1.42652,1.01075,1.40619,8.911e-05,8.911e-05,8.911e-05
24,1910.56,1.3576,1.05111,1.33939,0.76517,0.73015,0.78828,0.45417,1.4264,1.00979,1.38122,8.8615e-05,8.8615e-05,8.8615e-05
25,1994.4,1.3528,1.03928,1.34021,0.75797,0.72157,0.77138,0.45079,1.40971,0.99549,1.38155,8.812e-05,8.812e-05,8.812e-05
26,2077.92,1.34689,1.04828,1.34172,0.73501,0.75585,0.77865,0.45234,1.4026,1.00665,1.37733,8.7625e-05,8.7625e-05,8.7625e-05
27,2161.33,1.33584,1.0366,1.32871,0.75306,0.75,0.79505,0.46926,1.39873,0.9705,1.3846,8.713e-05,8.713e-05,8.713e-05
28,2244.68,1.3442,1.02698,1.328,0.75515,0.72204,0.79599,0.46643,1.4222,1.01116,1.3677,8.6635e-05,8.6635e-05,8.6635e-05
29,2328.69,1.33801,1.01235,1.32934,0.7388,0.72659,0.77025,0.44523,1.44185,1.03669,1.39337,8.614e-05,8.614e-05,8.614e-05
30,2412.22,1.34033,1.01624,1.31821,0.74023,0.72742,0.76863,0.46957,1.36746,1.00931,1.33865,8.5645e-05,8.5645e-05,8.5645e-05
