epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.068,1.78583,2.28474,1.83878,0.31667,0.16388,0.13853,0.05432,2.36013,2.94437,2.40338,0.0667951,3.32381e-05,3.32381e-05
2,224.76,1.70188,1.88477,1.75692,0.67175,0.6006,0.65579,0.33956,1.58972,1.63251,1.68571,0.0334938,6.52533e-05,6.52533e-05
3,333.463,1.64341,1.75416,1.70654,0.71451,0.62778,0.70638,0.38953,1.47865,1.40876,1.56734,0.000191187,9.59485e-05,9.59485e-05
4,441.85,1.60037,1.6741,1.67376,0.67745,0.62876,0.67933,0.37345,1.46708,1.42902,1.59308,9.406e-05,9.406e-05,9.406e-05
5,550.05,1.58336,1.60885,1.6568,0.75142,0.6413,0.72484,0.41915,1.39391,1.2883,1.53499,9.208e-05,9.208e-05,9.208e-05
6,658.197,1.56411,1.57631,1.63788,0.71703,0.64716,0.72531,0.42533,1.38336,1.26151,1.52414,9.01e-05,9.01e-05,9.01e-05
7,765.448,1.549,1.52408,1.63315,0.75474,0.68729,0.76804,0.4473,1.38741,1.18487,1.53168,8.812e-05,8.812e-05,8.812e-05
8,872.692,1.53658,1.49045,1.62275,0.76832,0.6689,0.75845,0.44602,1.36295,1.17925,1.49009,8.614e-05,8.614e-05,8.614e-05
9,979.483,1.53159,1.47179,1.6235,0.74991,0.69196,0.76979,0.46102,1.35229,1.14717,1.49348,8.416e-05,8.416e-05,8.416e-05
10,1086.25,1.53198,1.45597,1.62033,0.74405,0.69147,0.76714,0.45303,1.36575,1.13985,1.50542,8.218e-05,8.218e-05,8.218e-05
11,1192.42,1.52114,1.43014,1.61247,0.7689,0.70652,0.78243,0.45343,1.38011,1.15261,1.50448,8.02e-05,8.02e-05,8.02e-05
12,1298.82,1.51278,1.39156,1.60917,0.75805,0.71906,0.79064,0.48118,1.33532,1.05855,1.46735,7.822e-05,7.822e-05,7.822e-05
13,1405.49,1.5046,1.37091,1.59892,0.76105,0.68974,0.7723,0.44324,1.4397,1.07853,1.53696,7.624e-05,7.624e-05,7.624e-05
14,1511.35,1.49142,1.36751,1.58774,0.76003,0.7097,0.7828,0.46414,1.3596,1.06918,1.48354,7.426e-05,7.426e-05,7.426e-05
15,1617.9,1.48871,1.34521,1.58503,0.76094,0.69565,0.77654,0.47922,1.31511,1.03697,1.44919,7.228e-05,7.228e-05,7.228e-05
16,1724.59,1.47595,1.33177,1.5756,0.74795,0.69472,0.76994,0.44692,1.35844,1.072,1.48371,7.03e-05,7.03e-05,7.03e-05
17,1831.3,1.45375,1.2922,1.56262,0.76461,0.70401,0.78283,0.47234,1.3062,1.01867,1.45378,6.832e-05,6.832e-05,6.832e-05
