epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.545,1.50184,1.31113,1.59211,0.33189,0.04515,0.04565,0.02333,2.3979,4.41575,2.45099,0.0668903,3.31429e-05,3.31429e-05
2,476.716,1.47807,1.24239,1.564,0.7237,0.67673,0.73978,0.43304,1.40692,1.12508,1.51852,0.03359,6.61471e-05,6.61471e-05
3,656.337,1.42484,1.19723,1.52802,0.75553,0.69649,0.75528,0.43056,1.3905,1.10426,1.50444,0.000289298,9.88214e-05,9.88214e-05
4,872.468,1.41736,1.16669,1.51928,0.75757,0.71906,0.7884,0.48408,1.31996,0.96396,1.444,9.8515e-05,9.8515e-05,9.8515e-05
5,1053.2,1.41428,1.15957,1.51693,0.75395,0.68918,0.76285,0.46594,1.35216,1.01284,1.4651,9.802e-05,9.802e-05,9.802e-05
6,1234.77,1.41406,1.1476,1.5108,0.74898,0.66388,0.73197,0.39513,1.50872,1.1704,1.61637,9.7525e-05,9.7525e-05,9.7525e-05
7,1408.98,1.40596,1.15132,1.51193,0.75664,0.7291,0.78353,0.46469,1.38811,0.9735,1.5137,9.703e-05,9.703e-05,9.703e-05
8,1562.1,1.4015,1.13989,1.51471,0.74278,0.72675,0.77739,0.42084,1.55752,1.02862,1.61346,9.6535e-05,9.6535e-05,9.6535e-05
9,1768.54,1.39391,1.12346,1.50984,0.75949,0.71027,0.77663,0.45429,1.41135,0.97666,1.51174,9.604e-05,9.604e-05,9.604e-05
10,1973.48,1.39207,1.11633,1.49468,0.78728,0.68387,0.77052,0.46628,1.33744,1.01145,1.44603,9.5545e-05,9.5545e-05,9.5545e-05
11,2197.26,1.39342,1.11351,1.49489,0.77978,0.7291,0.7998,0.46903,1.36692,0.95407,1.48516,9.505e-05,9.505e-05,9.505e-05
